text,sentiment
Dagatoyi birshettes nu dere xoones dalga manttiya eketes nu dere lamettes nu morke yellates Digiyayi di? ,-1
Dagatune woyetotutu ketta gulantta,-1
daggato nenara xossi gido,-1
Dagi kawo ppe attin kasso gidenna kassoy bana bana eroo,-1
Dagi Minuwawu.Atuma Assa.,-1
Dagika worduwa domana gidi hanes moysa,-1
Dagis Xuguntta Giddon De'iyaa Kittaa Gakekketa.,-1
dalga manttiya immettana mala charkuwaa bollan xalla waasin beetaneesha?,0
Dalga mantya qattay aysi coo u gide,0
Dalgaa mantiyaa eraa hegee,0
Dalgga cora daro woykko ississaan eellidi uttidabaa,0
Dalgga Mantiyaa Ekanna Kora Para Zarana,0
Dalgga mantte kiyiyo baaxxiyaa minttitteeppe attin wolattatto a ooso a ottanaa giyoogee hanennabba.,-1
Dalgga Mantte Laamee oyshaa ,0
Dalgga manttiya ekkaanna,0
Dalgga Manttiyaa baaxe minno ,1
dana ubayee gochaa,-1
Dandaya imo Yelagayi shiiqi cayeta gatto,-1
Dandayetiko silke yafaran asasi oyshaw doya otiyako worqaba ,0
Dandayisso kehassa atto,1
Danddaya Immo Wolaytta Deriya Ubbassi Eta Shempuwa Maaro Ane Nunika Baaxetos Eta Daafura Boxooxisos ,1
Dantiyaro gideke hana teme,0
Dapuranawu nunaka eyetanawu besena,0
Dara daanata.tayeenay poraasa.papapapa worqqa,-1
dara danata biittaa kuma.tumay sinttawu keso ,0
dareeta wonkka gaammoti.,0
Darii guurin darkkon wonttees.,0
Daro Lo o Gin Lambattuwani makkisuwa attikko daro pokko ,-1
Daro maana gayi daboppe attes.,-1
daroba bessada na'attettan aassi xeellanawu Wolaittuma siiqanaadan daruwa leemiso gidida,1
Darphphani negan uttada wogeta oduwa sima.,1
daruwa hara peejjiyaappe eki xaafes baappe oorattaba gattena.,0
Dea ne tayshay dosos.adape,0
Debubeppe awaa bane coronay keha etappe ubbaa gede meciyagee,-1
Deeshiyo shira ii ashuwanne miza ii galbbanne tola ,0
deeshshay ba yaraw handatees ,0
Deexo Oyishaa Gidana Koshesi,-1
de'iya pacata kunttiyoogan ane nu a dichchos ,1
Deniddida wolayttumma tookki paalliiddi qafiyaa qanxxettida gachchama wolayttata,1
Dere xoonees ,1
Deree ha laappun gallassay wuranaappe kasetidi loytti waassanawu koshshes.,0
dereeyka hirgappe shempis gikii tayshaw. motore osanchatuyo osoy xayiwode asay kehi hirgees era,1
Deriya sugiyoge kessena,1
DERIYAWO BEGOTA WOLITO XISSIKOPA,1
Deriyawu gelo qaalay sa'aani wodhenna . Hekko koshshees giido eqotaa,0
Dicaa tayishay tuuma gaadasaa,1
Dicca tassi yeddarki giddo yafaaranii yedda.,0
Dicca teme nu naggos inte Na ayika gammo,0
Diccashsho Teme nena xoossi anjjo Arbbappe nne aymaloppe gidduwan xoossi de ees ges nu asay,0
Dicha nayna,0
Dicha sintwuu baa,1
Diga awuka xabe bayiwutiis,-1
Digiina gidene Nenika Nuunika wasiyoy Hanippe hara digoy awuge?,-1
Dimttu Wolaytta Dalgga Mantte Attenaba Wolayttummay Ciiyo Wolayttatto y Dicco ,1
Diriphan sinta xera ,0
dogappe daruwa Dana wolayit gitaa shesha worabiii,1
Donota gidi ogiya gordis gide ,-1
Doomo xoosayka mizena ,0
aba odiya naqaashatu boli qassi hara wolaytta xeeliya naqaashata shiishuwaa doomidooge lo'oba gididi mintidi ootanaagaa koyees.,1
y baynna Dalgga Manttee maxxinee baynna qumaa mala ,1
y Wolayttatto Ta y tawu Alleqo Ta y tawu ubbaba ,1
Dooroti ubbayikka likke gidokkona,-1
Dooyenna Ixissii,-1
Dosayis,1
dosettees nu dottoriyaaa,1
Dosin ixxinkka borkka sullana ,-1
Dosiyo isha hagee keehippe lo o qofanne daro nenadan wolaytta asaassinne banatettaassi eqqiya eranchcha asaa shiiquwa issippetetta koyiyaba.,1
Dottoriyantta Eshempuwa Maro ,1
Doyanaw domidoga awa xayisidona koy?,0
Dubbalaa n ubba ooso keettati gordda gidoosona. ,-1
dugge efanaw.qanchosona,0
Duma dumawu watto nena,0
dumatassa teme,0
Dumma dumma ho o paapunttati eesuwan eesuwan intekko gakkana mala ha pagiyaa like oottite,1
Duretayi lo o hashu gattis assi bawolqan minana hegasi xossa yaya koshshas tammappa issoyi xoosaga xosasi ema neyo daroyi ematana ,1
Duriya bochena hiyessa oyqees,-1
E shin tamazgana wolayttattuwa moorroppa era ,1
E xoossi diishin.,1
Eceriya muqaday garawa sinttn po oena Tumay kiyana deriyage,-1
Ee hegaa qofaa qasho ottiigiyaakko lo'o malatees ,0
ee sima yo'oyi sim'iin geles giidda,0
Ee taa qopaa hegge mayettas tanni,0
Ee tumaa wolaytaw aa donay Hasayano dess,1
Ee Tumaa Xoossi Ashsho Wordoy Woladan Dayiss shin Gidikkokka Lay ttay gutta Aduqenaa Xoossay Nunara Dessi,1
Ee Tummakka xossi dees nunikka A nagos ,1
Ee ubabawuka kayay de'es ,-1
ee yaagidi hidootida ,0
Eee aybinka galatetto xoossay ,1
Eee tuma a xoossi diggo,-1
Eee Tuma Tuma Adhdhana,0
Eee tumakka ayyebbay yottin worenna aggakkiyoosaa oonee gakkenna ba ulluwaan tokkasu ba kiyuuwaan iddimasu,-1
Eeeee hege tuma,0
Eeeee tumaka yedopa minitta oyiqqa.,0
Eellello Hachchi wontto giyogee eqqo ,1
Eeshsho Nu y donaa,0
Eesuwaara ha geella oosuwaappe simmana simmana mala bonchchuwan erissoo,1
eettene I nuyo aybakka immana koyenna gin nuuni keehin qawamettidi diyo gishawu takki gis,-1
Eeyyaappe woxxi attidi era kiyeettees tumakka Temee ,1
Ekettida Tanggoy Gita Beera Kaa is ,-1
Ekkanaw deree eeno gaana koshenna,-1
Emuwaa Aayiyaa Yellu Nena Zirixxa Tumma zooxasa ,0
Enijetto niyo nu uso na awi,0
Enno Enno Galattos Teme Hayanna,0
Enno kawo naw,0
Enno shin matiyo darabekke hina ,-1
Enno sima tamasgana kalana fb hahuwan detes ,0
eno gulaanita kawuau,-1
eno kitassi kehi daro galatossi. etti bochofo,0
Eno nagana,1
Eno niyoka wodala ganjiya tamazgana,1
Eno sima siqoy saroy daro nesi,1
Eno sintta ekka ishawu,1
Ente ayiya ayana kehiya hatta oychin matta ushyara Kasa wanche kassan michan pesha lagge gilayiya galuwa worada galaba tossa bone,-1
ente hasayay tumu wozana bochiyaga worabi worabi,1
ente nagetite . Saruwan simite Teme,1
enteko gakess,0
Entenara hayiqiganpe atin guye simoko,1
eqqadeye uttade ha ishalo giyora,0
Eraa xossaa xelite kiyidi betitee,1
Eranine hidduwan Sintaw.Sintata Ta Lagiyaw lo asa,1
Erayi Wolayitana Asay Wolayotana Ayisayggetikka Wolayitana Coo Dafuroffona Wolayitta Awudenne Xoonokkonna.,-1
Eriya assawu sim in geles Awasa heran diya nati hega siyona cambalalara gaytidagan bantana nagana bessosona ,-1
ero amadoo gaga nawu,-1
ERO Bizaawu,0
Ero Ero siiquwan mini morkiya xoonos,1
Ero Ero tayishawu,-1
Ero ero ubato nussoggape .diyaggapee uba lo o,1
Ero gane,1
Ero hayitta yegid siyana shin kililiya oyishay awa darajan diyakko minttada oyichcha,1
Ero injje wode gido,0
Ero nanggos,0
Ero ne dasho mina taishawu,1
Ero nuunikka simokko inttenaara doosi,1
Ero saro gatto yani gayittana,1
Ero siyana,1
Ero tayshshay,1
Ero xosay des,1
Eroo ta aye na mallalawu,1
eroo ubabayka axxana gays tankka gujjada,0
eshaw ayiko ba xosi desi,1
Eshaw Hegape Hachi Wodhdhaye ? Wodhdhiki ?,-1
Eshaw yohoy dugee biis giyoge tumeshsha,-1
Eshawu Bita ollasa,0
Eshawu hagazay???,0
Eshawu lo asa,0
Eshawu Loesi,0
Eshawu michaa daradaa wanayi ne matan hadirsa bagara hatayi ushachaa bagaraa qaa macii diyee,-1
Esho ta gomppe.itay bochchoppo nuna Wosay wolqqa Woositee gite,1
Eta baree aduqqoo ,0
Eta shempuwa xoosay saluwan eessaa ushshoo ,1
Eta wode nuuni eeno giidi cou giidi co deida,1
Etaka yedissana godaay Teme,0
Etara xoosi des wonto birshetosona tuma ' ,1
Etayo ayia dawusupe atini awi ba paranja kuto,-1
Ethiopio dosada hayqadasa.,0
Eti banta uluwawu nuna wolayta bayzanaw yidosona,-1
Eti bukiyode gita malaatayi aputa asi be'iyosan apuxosona,1
Eti harayka gi erena nu kanche gyoge ay madi,0
Eti hegan xiskishin bantta ganjjiyaw woxxishin harati eta kitti kittidi nu deriya sugi sugidi ollan gellissosona,-1
Eti nu baaxanchchaa sunttaa wordduwan mooridi nu morkketa ufayssoogeenne wolaytti hagaa mala giissi cayissooro awudenne dogokko,0
Eti ola boli diyoge azantikoka hage nu moro gidena,0
Eti wottido banddiraanne xeellite Andualema giyobaakka siyite hageeti awudenne deriya zokkuwa zadhdhidi ulo kalliyobappe aadhdhokona,-1
Etikka la'a kiyana doosona,1
Etu suntan gazexatun ubban qacetiyabi ubi cimopeatin wozanape gidena,0
Fanappe wogeta baadi?,0
Gaalasay Awudee ?,0
gaasotaykka daaro baaxiya ogeti zookuwa immidageta coo atideta,-1
Gaasoy aba giddinkka.,0
gaasoy qoncco,0
Gaasoyika biittanne baanna iita siiqiyogappe dendidagan baa bonchuwa koyiyaa asaa,-1
gaasoykka gamma machchallan xaafettiyoode 'baaridi' gidanawu koshshees,0
Gaassoy Baaxe leefaa mintte,-1
Gaassoykka Nuussi daro morkketti yuushuwan dooddi uttiisi,-1
Gaasuwa erikko qonccissa.,0
Gachamaw Ubbaka birrshetay wolqama ha pottuwaw,0
Gachchaama Kawuaa Xoona Gaagga ,-1
Gachchama maxafawu naqasha shishiya izawatu naqashsha shishiyo maccaray keehippe lefaa gidiyoga qonccises temu ,0
Gachchamata ,1
Gadiya paraa daaggin ekkos aykale baalliya essoogaara soofiya geloos,1
Gagn ye xona nib naw wolatta,-1
GAJARAN QANXETIDI HAYQOGEE NUNA SAKEES TAASSA ,1
Galassay Saro Iirxxa Carkuwaa Cano,1
galatay awu gido,1
Galatayissi. Lo'o naqaasha ,1
Galatays ubbaakka,1
galatayssi ubaka,1
galatetoshin aybe ooratabay,-1
galatosi,1
Gallasay lamettana ayineba dandayiday darees ,1
Gam ikkokka Xoossay Tuma yaana ,1
gami ikone yaana,1
Gam'iisi shin ane be'ana.,0
gamm kone goday yaana ayikoba.,1
Gammaka hayya lo o,0
Gammo ne loo aasaka,-1
Gammo wolayta minte sinttawuka xossa nunara de'es,1
Gammuwa birshtto wolliyati la a kiyyo,1
GAMO NAATO TASSA aYIKA XAYENAN OOTTI MANAW KIDI ASSA SUGI ERENA SUURE NATTI GAMMO NATTI? ,0
Gamotti hagapeka yaa yaa loi te,1
Gamuwawu hino beaa neyoo,0
Gamuwawu lo'asa,1
ganaba xaayasi medhdhay anjo,1
ganay dishin gayitay mices,-1
Garxxenna gaammuwa calaa sooppe maayos,0
gas lo asa ta gomppawu,1
Gashe LT lo o anche giddo xoniyogaan amanettays,0
Gashe neeni nuna nu biittiyo eroosu gaada,1
Gasoy eretide ta ishaw,0
gato nena Woga wolaitaw,1
Gatta Gamodan Garmammo Gana Essa Yashiisso Gaccibbo Mahedan Seeban Peregadda Pushakko ,-1
Gattenabaa Giddo Gelopitte. Intte soo ossuwas minitte.,1
Gatto gatto Teme nuukkaa shoobettana,1
Gatto ta ne geduwana xoossi gikko,1
